Test-case level metrics
,Precision,Recall,F1-score,Support
KILLED,0.4143,0.4992,0.4528,4641
SURVIVED,0.5816,0.4965,0.5357,6506
Macro,0.4979,0.4979,0.4942,-
Weighted,0.5119,0.4976,0.5012,-

Accuracy,0.4976

Test-suite level metrics
,Precision,Recall,F1-score,Support
KILLED,0.6554,0.9882,0.7881,254
SURVIVED,0.6667,0.0435,0.0816,138
Macro,0.6610,0.5158,0.4349,-
Weighted,0.6593,0.6556,0.5394,-

Accuracy,0.6556

Project,MutationScore_Real,MutationScore_Predicted,Error
Csv_5,0.6480,0.9770,0.3291
Average_Error,,,0.3291

